MAGAZZINO 2018;;;;;;;
PRODOTTO;Data Ultimo arrivo;tot. Ordi ni;FORNITORE;UNITA MISURA;GIACENZA;COSTO  unit.;VALORE
Matite legno;;;Lyreco;numero;8;?0,80 ;? 6,40
Mine 0,5;05/06/2018;25;Lyreco;numero;5;?1,10 ;? 5,50
Mine 0,7 mm;;;Lyreco;numero;4;?0,90 ;? 3,60
P.ta mine 0, 7 mm;;;Lyreco;numero;0;?1,50 ;? 0,00
P.ta mine 0,5 mm;;;Lyreco;numero;3;?1,50 ;? 4,50
Pellicola per imballaggi;05/02/2018;6;Lyreco;rotoli;4;?12,50 ;? 50,00
Pennarelli kit 4 colori;;;Lyreco;numero;2;?2,50 ;? 5,00
Pennarelli Pentel Blu;;;Lyreco;numero;0;?1,00 ;? 0,00
Pennarelli Pentel Rossi;;;Lyreco;numero;0;?1,00 ;? 0,00
Penne Bic  blu;12//3/2018;50;Lyreco;numero;50;?0,19 ;? 9,50
Penne Bic nere;12/03/2018;50;Lyreco;numero;35;?0,19 ;? 6,65
Pennarelli punta fine;;;Lyreco;numero;3;?1,20 ;? 3,60
Penne Bic Rosse;;;Lyreco;numero;0;?0,20 ;? 0,00
Pennerelli Pentel Neri;;;Lyreco;numero;0;?1,00 ;? 0,00
Porta abiti corti soffietto;30/01/2018;100;Ital Copri;numero;103;?3,45 ;? 355,35
Porta abiti corti;30/01/2018;50;Ital Copri;numero;94;?2,90 ;? 272,60
Porta abiti lunghi soffietto;26/04/2018;51;Ital Copri;numero;8;?4,80 ;? 38,40
Porta abiti lunghi;30/01/2018;50;Ital Copri;numero;0;?3,45 ;? 0,00
Porta abiti sposa ;30/01/2018;50;Ital Copri;numero;48;?3,75 ;? 180,00
Post-it grandi 76x76 pacchi da 12;05/06/2018;24;Lyreco;numero;12;?4,00 ;? 48,00
Post-it piccoli blocchetti;09/02/2019;12;Lyreco;numero;24;?0,80 ;? 19,20
profumo per bagno;09/02/2018;24;cartemani;numero;10;?11,70 ;? 117,00
Punteruoli;09/02/2019;200;Donagemma;numero;153;?2,40 ;? 367,20
Punti graffettatrice (x 1000);9/2//2018;20;Lyreco;numero;20;?0,83 ;? 16,60
Raccoglitori Dispense;09/04/2018;100;Negrisolo;numero;139;?4,70 ;? 653,30
Righelli metallici;22/01/2018;100;Ati;numero;96;?2,50 ;? 240,00
Rocche fili nero;22/05/2018;10;;numero;5;?2,00 ;? 10,00
Rocche filo bianco;22/05/2018;20;;numero;29;?2,00 ;? 58,00
Rotoli Cartone plotter rotoli da 10,6 kg;02/03/2018;10;Bossotti;numero;0;?41,34 ;? 0,00
Rotoli Cartone modelli;11/05/2018;150; ;kg;0;?2,70 ;? 0,00
Sapone lavamani per dispenser;09/02/2018;48;cartemani;dosi;7;? 6,00;? 42,00
Scalimetri;01/02/2018;1047;Fara Design;numero;887;?0,66 ;? 585,42
Scotch da Pacchi Avana;18/06/2018;24;Lyreco;numero;12;?2,85 ;? 34,20
Scotch in Carta;12/03/2018;5;Lyreco;numero;7;?1,72 ;? 12,04
Scotch magic;18/06/2018;45;Lyreco;numero;11;?2,90 ;? 31,90
Scotch rotolo grande;05/06/2018;14;Lyreco;numero;9;?1,72 ;? 15,48
Separatori alfabetici;;;;numero;7;?5,00 ;? 35,00
Separatori numerici;;;;numero;9;?1,00 ;? 9,00
Silesia bianca;19/01/2018;113;Rota;mt;100;?2,69 ;? 269,00
Silesia nera;19/01/2018;115;Rota;mt;98;?3,30 ;? 323,40
Spago;;;;rotoli;3;?2,87 ;? 8,61
spilli 250gr;17/04/2018;12;ATI;scatole;4;?7,00 ;? 28,00
Squadrette;;;;numero;567;?3,00 ;? 1.701,00
Strisce forate;;;;numero;1;?1,96 ;? 1,96
Tela 140 panna greggio;;;;mt;7;? 1,97;? 13,79
Tela leggera adesivizzata;;;;mt;95;?7,00 ;? 665,00
Tela Pesante ;13/06/2018;550;Rota;mt;150;?2,69 ;? 403,50
Tela Orchidea/greggia;10/07/2018;812;Rota;mt;112;?2,21 ;? 247,52
Termoadesivo 150 art 50/DP;;;;mt;100;? 1,43;? 143,00
tessuto lana double  rosa(3);35;;;mt;4;?8,50 ;? 34,00
tessuto lana(2);;;;mt;17;?5,00 ;? 85,00
Tessuto per smoking;;;Cacioppoli;mt;12;?47,00 ;? 564,00
Tropical tasche;;;;mt;22;? 2,97;? 65,34
Tubi porta diplomi;11/06/2018;200;Ratioform;numero;140;?1,07 ;? 149,80
Melton ;;;;mt;25;? 5,00;? 125,00
Tappo forever ferri stiro;;;;numero;1;? 12,00;? 12,00
Guarnizioni tappi forever;;;;numero;8;? 1,36;? 10,88
Capsula Siruba ;;;;numero;16;? 2,20;? 35,20
