MAGAZZINO 2020,,,,,
PRODOTTO,FORNITORE,UNITA MISURA,GIACENZA,COSTO  unit.,VALORE
Kit  Macchina cucire USATI,,numero,"22,00","€33,50 ","€ 737,00"
kit Macchina cucito NEW,,numero,"17,00","€33,50 ","€ 569,50"
Kit scatole vuote,,numero,"19,00","€4,30 ","€ 81,70"
tessuto lana quadretti,Comerima,mt,"24,00","€8,50 ","€ 204,00"
tessuto lana stock (9),Comerima,mt,"12,00","€8,50 ","€ 102,00"
Lana Spigato Stock (8),Comerima,mt,"1,50","€5,00 ","€ 7,50"
Lana galles (4),Comerima,mt,"20,00","€5,00 ","€ 100,00"
Lana grigio nero (1),Comerima,mt,"0,00","€5,00 ","€ 0,00"
Lampo cm 20 normali,Rota,n,"52,00","€0,30 ","€ 15,60"
Lampo cm 22 invisibile,Rota,n,"45,00","€0,30 ","€ 13,50"
"Mine 0,5",Lyreco,numero,"15,00","€1,10 ","€ 16,50"
"Mine 0,7 mm",Lyreco,numero,"4,00","€0,90 ","€ 3,60"
"P.ta mine 0, 7 mm",Lyreco,numero,"0,00","€1,50 ","€ 0,00"
"P.ta mine 0,5 mm",Lyreco,numero,"6,00","€1,50 ","€ 9,00"
Pellicola per imballaggi,Lyreco,rotoli,"1,00","€12,50 ","€ 12,50"
Pennarelli kit 4 colori,Lyreco,numero,"0,00","€2,50 ","€ 0,00"
Pennarelli Pentel Blu,Lyreco,numero,"0,00","€1,00 ","€ 0,00"
Pennarelli Pentel Rossi,Lyreco,numero,"0,00","€1,00 ","€ 0,00"
Penne Bic  blu,Lyreco,numero,"40,00","€0,19 ","€ 7,60"
Penne Bic nere,Lyreco,numero,"40,00","€0,19 ","€ 7,60"
Penne Bic Rosse,Lyreco,numero,"12,00","€0,20 ","€ 2,40"
Pennerelli Pentel Neri,Lyreco,numero,"0,00","€1,00 ","€ 0,00"
Porta abiti corti soffietto,Ital Copri,numero,"57,00","€3,45 ","€ 196,65"
Porta abiti corti,Ital Copri,numero,"35,00","€2,90 ","€ 101,50"
Porta abiti lunghi soffietto,Ital Copri,numero,2,"€4,80 ","€ 9,60"
Porta abiti lunghi,Ital Copri,numero,"0,00","€3,45 ","€ 0,00"
Porta abiti sposa ,Ital Copri,numero,"30,00","€3,75 ","€ 112,50"
Post-it grandi 76x76 ,Lyreco,numero,"24,00","€4,00 ","€ 96,00"
Post-it piccoli blocchetti medi,Lyreco,numero,,"€0,80 ","€ 0,00"
Post-it piccoli blocchetti piccoli,Lyreco,numero,"48,00","€1,80 ","€ 86,40"
profumo per bagno,  ,numero,"19,00","€11,70 ","€ 222,30"
Punteruoli,Donagemma,numero,"76,00","€3,10 ","€ 235,60"
Punti graffettatrice (x 1000),Lyreco,numero,"20,00","€0,83 ","€ 16,60"
Raccoglitori Dispense,Negrisolo,numero,"4,00","€4,70 ","€ 18,80"
