MAGAZZINO 2017,,,,,,,
PRODOTTO,Data Ultimo arrivo,tot. Ordi ni,FORNITORE,UNITA MISURA,GIACENZA,COSTO  unit.,VALORE
Lana galles (4),,,,mt,"20,00","€5,00 ","€ 100,00"
Lana grigio nero (1),,,,mt,"3,00","€5,00 ","€ 15,00"
Lampo cm 20 normali,18/9/2017,150,Rota,n,"150,00",,"€ 0,00"
Lampo cm 22 invisibile,18/9/2017,150,Rota,n,"200,00",,"€ 0,00"
Matite legno,,,,numero,"12,00","€0,80 ","€ 9,60"
"Mine 0,5",18/9/2017,35,,numero,"9,00","€1,10 ","€ 9,90"
"Mine 0,7 mm",,,,numero,"10,00","€0,90 ","€ 9,00"
"P.ta mine 0, 7 mm",,,,numero,"0,00","€1,50 ","€ 0,00"
"P.ta mine 0,5 mm",,,,numero,"5,00","€1,50 ","€ 7,50"
Pellicola per imballaggi,,,,rotoli,"3,00","€12,50 ","€ 37,50"
Pennarelli kit 4 colori,,,,numero,"2,00","€2,50 ","€ 5,00"
Pennarelli Pentel Blu,,,,numero,"0,00","€1,00 ","€ 0,00"
Pennarelli Pentel Rossi,,,,numero,"0,00","€1,00 ","€ 0,00"
Penne Bic  blu,31/10/2017,80,,numero,"40,00","€0,19 ","€ 7,60"
Penne Bic nere,31/10/2017,80,,numero,"20,00","€0,19 ","€ 3,80"
Pennarelli punta fine,,,,numero,"3,00","€1,20 ","€ 3,60"
Penne Bic Rosse,,,,numero,"0,00","€0,20 ","€ 0,00"
Pennerelli Pentel Neri,15/3/2017,12,,numero,"10,00","€1,00 ","€ 10,00"
Porta abiti corti,,,,numero,"80,00","€2,90 ","€ 232,00"
Porta abiti lunghi,,,,numero,"19,00","€3,45 ","€ 65,55"
Porta abiti sposa,,,,numero,"1,00","€3,75 ","€ 3,75"
Post-it grandi 76x76 pacchi da 12,22/2/2017,5,,numero,"0,00","€4,00 ","€ 0,00"
Post-it piccoli blocchetti,22/2/2017,24,,numero,"0,00","€1,00 ","€ 0,00"
profumo per bagno,11/9/2017,24,,numero,"11,00","€11,70 ","€ 128,70"
Punteruoli,22/9/2017,300,Donagemma,numero,"260,00","€2,40 ","€ 624,00"
Punti graffettatrice (x 1000),12/7/2017,50,,numero,"10,00","€0,83 ","€ 8,30"
Raccoglitori Dispense,6/10/2017,440,,numero,"69,00","€4,70 ","€ 324,30"
Righelli metallici,20/9/2017,100,Ati,numero,"64,00","€2,50 ","€ 160,00"
Rocche fili nero,6/4/2017,40,,numero,"6,00","€2,00 ","€ 12,00"
Rocche filo bianco,25/9/2017,80,,numero,"30,00","€2,00 ","€ 60,00"
Rotoli Cartone modelli,5/9/2017,390, ,kg,"60,00","€2,70 ","€ 162,00"
Sapone lavamani per dispenser,28/09/17,60,,dosi,14,"€ 6,00","€ 84,00"
Scalimetri,,,,numero,"145,00","€0,66 ","€ 95,70"
Scatole etichette fotocopiabili,,,,numero,"0,00","€12,48 ","€ 0,00"
Scotch da Pacchi Avana,31/10/2017,6,,numero,"6,00","€2,85 ","€ 17,10"
Scotch in Carta,18/9/2017,10,,numero,"2,00","€1,72 ","€ 3,44"
Scotch magic,    ,90,,numero,"7,00","€2,90 ","€ 20,30"
Scotch rotolo grande,18/9/2017,19,lyreco,numero,"3,00","€1,72 ","€ 5,16"
Separatori alfabetici,,,,numero,"7,00","€5,00 ","€ 35,00"
Separatori numerici,,,,numero,"9,00","€1,00 ","€ 9,00"
Silesia bianca,12/10/2017,114,rota,mt,"100,00","€2,69 ","€ 269,00"
Silesia nera,,,,mt,"10,00","€3,30 ","€ 33,00"
Spago,27/6/2017, ,,rotoli,"5,00","€2,87 ","€ 14,35"
spilli 250gr,15/11/2017,10,ati,scatole,"2,00","€7,00 ","€ 14,00"
Squadrette,,,,numero,"681,00","€3,00 ","€ 2.043,00"
Strisce forate,,,,numero,"1,00","€1,96 ","€ 1,96"
Tela 140 panna greggio,,,,mt,7,"€ 1,97","€ 13,79"
Tela leggera adesivizzata,,,,mt,"95,00","€7,00 ","€ 665,00"
Tela Pesante ,9/11/2017,1400,Rota,mt,"100,00","€2,69 ","€ 269,00"
Tela Orchidea,9/11/2017,1163,Rota,mt,"200,00","€2,21 ","€ 442,00"
Termoadesivo 150 art 50/DP,,,,mt,100,"€ 1,43","€ 143,00"
tessuto lana double  rosa(3),,,,mt,"4,00","€8,50 ","€ 34,00"
tessuto lana(2),,,,mt,"17,00","€5,00 ","€ 85,00"
Tessuto per smoking,18/9/2017,20,Cacioppoli,mt,"12,00","€47,00 ","€ 564,00"
Tropical tasche,,,,mt,22,"€ 2,97","€ 65,34"
Tubi porta diplomi,,,,numero,"140,00","€1,13 ","€ 158,20"
Melton ,,,,mt,25,"€ 5,00","€ 125,00"
Tappo forever ferri stiro,,,,numero,1,"€ 12,00","€ 12,00"
Guarnizioni tappi forever,,,,numero,10,"€ 1,36","€ 13,60"
Capsula Siruba ,18/05/17,24,,numero,30,"€ 2,20","€ 66,00"
Capsula Pfaff,18/05/17,66,,numero,51,"€ 5,50","€ 280,50"
Spoline Siruba,18/05/17,63,,numero,51,"€ 0,40","€ 20,40"
Spoline Pfaff,,,,numero,15,"€ 0,50","€ 7,50"
Cacciavite Piedino ,18/05/17,24,,numero,32,"€ 1,10","€ 35,20"
Cacciavite Ago ,18/05/17,50,,numero,60,"€ 0,90","€ 54,00"
Piedino  Mezzodestro,18/05/17,28,,numero,32,"€ 2,85","€ 91,20"
Piedino Standard,18/05/17,38,,numero,23,"€ 3,40","€ 78,20"
Piedino Compensatore,,,,numero,29,"€ 3,00","€ 87,00"
Porta Immondizia ,22/02/17,Manutan,24,numero,21,"€ 17,00","€ 357,00"
Ricambi sedia Bianchi,02/03/17,Armet,100,numero,100,"€ 10,00","€ 1.000,00"
Ricambi sedia grigi,03/03/17,Armet,19,numero,9,"€ 10,00","€ 90,00"
totale,,,,,,,"€ 18.175,79"
