MAGAZZINO 2019,,,,,
PRODOTTO,FORNITORE,UNITA MISURA,GIACENZA,COSTO  unit.,VALORE
"Adesivo cinture  h= 3,5",,rotolo,18,"€0,00 ","€ 0,00"
"Adesivo cinture h= 5,5",,rotolo,15,"€0,00 ","€ 0,00"
Adesivo  rotoli 7 cm. Nero ,Rota,rotoli,10,"€16,50 ","€ 165,00"
Adesivo  rotoli 7 cm. Bianco,Rota,rotoli,18,"€16,50 ","€ 297,00"
Adesivo Strech rotolo nero,Rota,mt,33,"€1,65 ","€ 54,45"
Adesivo Strech rotolo bianco ,Rota,mt,96,"€2,00 ","€ 192,00"
Adesivo Leggero nero ,Rota,mt,20,"€3,00 ","€ 60,00"
Adesivo Pesante nero,Rota,mt,0,"€3,00 ","€ 0,00"
Adesivo Pesante Bianco,Rota,mt,100,"€3,00 ","€ 300,00"
Adesivo Bianco  Leggero,Rota,mt,40,"€2,35 ","€ 94,00"
Appendini Legno,IKEA,n,68,"€1,00 ","€ 68,00"
Appendini plastica,Donagemma,n,35,"€0,50 ","€ 17,50"
Appendino  ferro porta gonne,ATI,n,9,"€1,20 ","€ 10,80"
Aghi a mano 3-9,ATI,n,7,"€0,60 ","€ 4,20"
Aghi a mano 6,ATI,n,8,"€0,60 ","€ 4,80"
Aghi a mano 7,ATI,n,4,"€0,60 ","€ 2,40"
Aghi a mano 10,ATI,n,5,"€0,60 ","€ 3,00"
Aghi a mano 9,ATI,n,2,"€0,60 ","€ 1,20"
Appendini Plastica,Donagemma,n.,5,"€0,50 ","€ 2,50"
Trilobato(gommina) 75 gr 100% ,Eurospal,mt,30,"€8,30 ","€ 249,00"
Bindello cotone bianco,Rota,rotoli,4,"€2,00 ","€ 8,00"
Borse Nere  con logo,Cina,n.,234,"€1,83 ","€ 427,75"
Bindello cotone nero,Rota,rotoli,4,"€2,00 ","€ 8,00"
Buste Bianche con Finestra,Negrisolo,n,1000,,"€ 0,00"
Buste Bianche A5,Negrisolo,n,750,,"€ 0,00"
Buste bianche 33x23,Negrisolo,n,500,,"€ 0,00"
Buste Imbottite 29x42,Negrisolo,n,60,"€0,50 ","€ 30,00"
Buste Plastica forate soffietto,Lyreco,numero,"0,00","€3,00 ","€ 0,00"
Buste Plastica forate f.to 22x30,Lyreco,lyreco,"250,00","€0,98 ","€ 245,00"
Buste Plastica forate f.toA3 buste  da 10,Lyreco,numero,"4,00","€6,00 ","€ 24,00"
Blocco lavagna,Lyreco,numero,"4,00","€3,50 ","€ 14,00"
Canetè  25 mm,Rota,mt,"50,00","€2,00 ","€ 100,00"
Canetè  15 mm,Rota,mt,"100,00","€2,00 ","€ 200,00"
Calicot   panna (cencio della nonna),,mt,25,"€ 1,14","€ 28,50"
Carta 160gr risma da 250 fg,Lyreco,n. risme,"2,00","€8,50 ","€ 17,00"
Carta 70x 100 fedrigoni,Fedrigoni,n. risme,"0,00","€27,44 ","€ 0,00"
